shootStartTime,playerMovementBool,playerReactionTime,bulletHitTime,bulletHitPlayerCheck,shootEndTime,spawnerIndex,shootMode,shieldActive,session_type,user_id
3503.88086,True,2.33544922,3505.71655,True,3509.68677,4,True,True,estereo,7919CMA-3
3517.339,True,2.123291,3519.164,True,3521.83862,5,True,True,estereo,7919CMA-3
3530.78735,True,2.33129883,3532.62036,True,3536.58887,6,True,True,estereo,7919CMA-3
3575.03613,False,4.04052734,0.0,False,3579.07666,2,False,True,estereo,7919CMA-3
3582.01831,True,2.97167969,3583.84937,True,3586.72144,7,True,True,estereo,7919CMA-3
3595.46655,True,2.34179688,3597.30566,True,3601.276,8,True,True,estereo,7919CMA-3
3608.91455,True,2.17675781,3610.75146,True,3613.42285,1,True,True,estereo,7919CMA-3
3622.3645,True,2.52905273,3624.1936,True,3627.06226,3,True,True,estereo,7919CMA-3
3635.813,True,2.46264648,3637.641,True,3640.51587,7,True,True,estereo,7919CMA-3
3649.25659,True,2.43798828,3651.09351,True,3655.061,6,True,True,estereo,7919CMA-3
3662.70264,True,3.303955,3664.53784,True,3668.51172,4,True,True,estereo,7919CMA-3
3676.15283,True,2.441162,3677.99048,True,3681.96216,8,True,True,estereo,7919CMA-3
3700.21362,True,1.10351563,0.0,False,3704.72217,5,False,True,estereo,7919CMA-3
3711.365,True,2.43847656,3713.204,True,3717.172,6,True,True,estereo,7919CMA-3
3724.81787,True,2.26708984,3726.65527,True,3729.522,7,True,True,estereo,7919CMA-3
3749.08057,True,2.836914,3750.91626,True,3754.92236,2,True,True,estereo,7919CMA-3
3762.52637,False,4.515381,3764.37354,True,3767.04175,1,True,True,estereo,7919CMA-3
1377.89209,False,4.69665527,1379.72754,True,1382.58875,3,True,False,estereo,7919CMA-2
1388.35413,False,4.50048828,0.0,False,1392.85461,1,True,True,estereo,7919CMA-2
1399.85034,False,4.498169,1401.68066,True,1404.34851,5,True,True,estereo,7919CMA-2
1410.33362,True,3.76855469,0.0,False,1414.371,6,False,True,estereo,7919CMA-2
1424.19666,False,4.69714355,1426.02759,True,1428.8938,7,True,True,estereo,7919CMA-2
1434.65808,True,2.26855469,1436.495,True,1440.45764,2,True,True,estereo,7919CMA-2
1451.32483,True,2.130005,1453.154,True,1457.11731,8,True,True,estereo,7919CMA-2
1464.81262,True,2.49975586,1466.61475,True,1470.6084,4,True,True,estereo,7919CMA-2
1478.27808,True,2.49389648,1480.10425,True,1482.97144,3,True,True,estereo,7919CMA-2
1491.77258,True,1.83288574,1493.60547,True,1496.26758,5,True,True,estereo,7919CMA-2
1511.98767,True,1.69946289,0.0,False,1516.48645,1,False,True,estereo,7919CMA-2
1523.779,True,2.33557129,1525.58508,True,1529.57788,4,True,True,estereo,7919CMA-2
1537.24121,True,2.732544,1539.0752,True,1541.94141,3,True,True,estereo,7919CMA-2
1550.7373,True,2.20336914,0.0,False,1554.76672,8,False,True,estereo,7919CMA-2
1563.03455,True,2.39648438,1564.86914,True,1568.828,2,True,True,estereo,7919CMA-2
1576.52563,True,2.53552246,0.0,False,1581.18811,7,False,True,estereo,7919CMA-2
1589.1875,True,2.09448242,1590.98743,True,1594.98267,6,True,True,estereo,7919CMA-2
1602.64478,True,1.90014648,1604.47852,True,1607.14392,5,True,True,estereo,7919CMA-2
1616.14075,True,1.904541,0.0,False,1620.20178,4,False,True,estereo,7919CMA-2
1628.1377,True,2.09277344,1629.97107,True,1633.93652,2,True,True,estereo,7919CMA-2
1641.62744,True,1.49865723,0.0,False,1646.124,1,True,True,estereo,7919CMA-2
1653.22278,True,2.89855957,0.0,False,1657.92188,3,False,True,estereo,7919CMA-2
1666.22229,True,2.39489746,1668.05066,True,1672.014,8,True,True,estereo,7919CMA-2
1679.71582,True,1.9630127,1681.5094,True,1685.50867,4,True,True,estereo,7919CMA-2
1693.17676,True,1.86901855,1695.00793,True,1697.67126,5,True,True,estereo,7919CMA-2
1719.796,True,2.2286377,1721.59668,True,1725.59045,6,True,True,estereo,7919CMA-2
1733.25671,True,2.49414063,0.0,False,1737.28564,2,False,True,estereo,7919CMA-2
1745.849,True,2.3972168,1747.68457,True,1750.54724,7,True,True,estereo,7919CMA-2
1759.35,True,2.258667,1761.18262,True,1765.14478,8,True,True,estereo,7919CMA-2
1784.32007,True,1.26403809,0.0,False,1788.81653,1,True,True,estereo,7919CMA-2
1795.68518,True,2.628662,1797.51489,True,1800.37744,3,True,True,estereo,7919CMA-2
1809.17566,True,4.19555664,1811.00989,True,1813.87573,7,True,True,estereo,7919CMA-2
1823.47144,True,2.26989746,1825.27625,True,1829.26758,6,True,True,estereo,7919CMA-2
1836.93811,True,2.229004,1838.73865,True,1842.73682,4,True,True,estereo,7919CMA-2
1850.39636,True,2.19677734,1852.22815,True,1856.19312,8,True,True,estereo,7919CMA-2
1863.89526,True,3.03381348,0.0,False,1868.39148,5,False,True,estereo,7919CMA-2
1877.05383,True,2.263916,1878.85315,True,1882.85876,6,True,True,estereo,7919CMA-2
1890.51538,True,1.83618164,1892.35156,True,1895.22485,7,True,True,estereo,7919CMA-2
1910.88672,True,2.6015625,1912.72021,True,1916.69373,2,True,True,estereo,7919CMA-2
1925.69287,True,1.8001709,0.0,False,1930.18713,1,True,True,estereo,7919CMA-2
